"","Date","hour","MeterID","MonthRead","count","fd"
"269","2017-12-29",8,1030664,32,1440,3
"270","2017-12-29",9,1030664,22,1440,2
"271","2017-12-29",10,1030664,10,1440,1
"272","2017-12-29",11,1030664,14,1440,1
"273","2017-12-29",12,1030664,10,1440,1
"274","2017-12-30",3,1030664,1,1440,1
"275","2017-12-30",4,1030664,1,1440,1
"276","2017-12-30",7,1030664,18,1440,1
"277","2017-12-30",8,1030664,1,1440,1
"278","2017-12-30",10,1030664,3,1440,3
"279","2017-12-30",11,1030664,3,1440,3
"280","2017-12-31",4,1030664,1,1440,1
"281","2017-12-31",6,1030664,1,1440,1
"282","2017-12-31",7,1030664,16,1440,1
"283","2017-12-31",8,1030664,1,1440,1
"284","2017-12-31",9,1030664,2,1440,2
"285","2017-12-31",11,1030664,3,1440,3
"286","2018-01-01",2,1030664,1,1440,1
"287","2018-01-01",4,1030664,1,1440,1
"288","2018-01-01",5,1030664,1,1440,1
"289","2018-01-01",7,1030664,16,1440,1
"290","2018-01-01",8,1030664,1,1440,1
"291","2018-01-01",9,1030664,4,1440,4
"292","2018-01-01",11,1030664,11,1440,1
"293","2018-01-02",1,1030664,33,1440,3
"294","2018-01-02",2,1030664,42,1440,4
"295","2018-01-02",3,1030664,35,1440,3
"296","2018-01-02",4,1030664,23,1440,2
"297","2018-01-02",5,1030664,13,1440,1
"298","2018-01-02",6,1030664,63,1440,6
"299","2018-01-02",7,1030664,33,1440,3
"300","2018-01-02",8,1030664,125,1440,1
"301","2018-01-02",9,1030664,42,1440,4
"302","2018-01-02",10,1030664,52,1440,5
"303","2018-01-02",11,1030664,32,1440,3
"304","2018-01-02",12,1030664,41,1440,4
"305","2018-01-03",1,1030664,21,1440,2
"306","2018-01-03",2,1030664,39,1440,3
"307","2018-01-03",3,1030664,41,1440,4
"308","2018-01-03",4,1030664,24,1440,2
"309","2018-01-03",5,1030664,5,1440,5
"310","2018-01-03",6,1030664,68,1440,6
"311","2018-01-03",7,1030664,29,1440,2
"312","2018-01-03",8,1030664,39,1440,3
"313","2018-01-03",9,1030664,36,1440,3
"314","2018-01-03",10,1030664,46,1440,4
"315","2018-01-03",11,1030664,35,1440,3
"316","2018-01-03",12,1030664,41,1440,4
"317","2018-01-04",1,1030664,41,1440,4
